,tripReadId,partnerName,cargoTonnage,asset_type,loadedDate,source_region,destination_region,source,destination,goodType,asset_size,totalDistance,month,currency,amount
4817,TP1153991,MEJ Associates,35.0,Open,2021-08-09 06:06:00+00:00,south south,south west,RIVERS,LAGOS,AGROCHEMICAL PRODUCTS,35.0,635900.0,August,NGN,455000.0
4818,TP1153709,MEJ Associates,35.0,Open,2021-08-06 13:39:00+00:00,south south,south west,RIVERS,LAGOS,AGROCHEMICAL PRODUCTS,35.0,0.0,August,NGN,455000.0
4819,TP1154025,Blessed Chjdeck Ventures,35.0,Open,2021-08-09 10:05:00+00:00,south south,south west,RIVERS,LAGOS,AGROCHEMICAL PRODUCTS,35.0,651560.0,August,NGN,455000.0
4820,TP1153329,Blessed Chjdeck Ventures,35.0,Open,2021-08-04 10:50:00+00:00,south south,south west,RIVERS,LAGOS,AGROCHEMICAL PRODUCTS,35.0,651560.0,August,NGN,455000.0
4821,TP1154026,Blessed Chjdeck Ventures,35.0,Open,2021-08-09 10:05:00+00:00,south south,south west,RIVERS,LAGOS,AGROCHEMICAL PRODUCTS,35.0,651560.0,August,NGN,455000.0
4822,TP1154016,Alhamdulillah Sufuri Technologies Ltd,35.0,Open,2021-08-09 10:04:00+00:00,south south,south west,RIVERS,LAGOS,AGROCHEMICAL PRODUCTS,35.0,651560.0,August,NGN,455000.0
4823,TP1154015,Great heritage maritime ser ltd,35.0,Open,2021-08-09 10:04:00+00:00,south south,south west,RIVERS,LAGOS,AGROCHEMICAL PRODUCTS,35.0,651560.0,August,NGN,455000.0
4824,TP1154195,Blessed Chjdeck Ventures,35.0,Open,2021-08-10 12:33:00+00:00,south south,south west,RIVERS,LAGOS,AGROCHEMICAL PRODUCTS,35.0,0.0,August,NGN,455000.0
4825,TP1153466,Great heritage maritime ser ltd,35.0,Open,2021-08-05 06:20:00+00:00,south south,south west,RIVERS,LAGOS,AGROCHEMICAL PRODUCTS,35.0,651560.0,August,NGN,455000.0
4826,TP1153536,Kola Taiwo,30.0,Open,2021-08-05 11:33:00+00:00,south west,south west,OGUN,LAGOS,SOYABEAN SEEDS,30.0,71643.0,August,NGN,210000.0
